Environment,Episode,Robustness,End_Condition
8,56,-0.014982180614872873,too_many_steps
6,65,0.002576056080676889,perfect
0,52,-0.02654513608959374,too_many_steps
5,53,-0.018298627766936144,too_many_steps
8,57,0.00048747688013193666,perfect
6,66,0.00014702621598967902,perfect
1,56,-0.03623901688753824,collision
4,61,-0.02489442732210345,too_many_steps
11,50,-0.02294313574519138,too_many_steps
10,55,-0.019940295469982508,too_many_steps
6,67,-0.032204420654743375,collision
1,57,-0.03148068843101711,collision
1,58,0.0013455963165491282,perfect
10,56,-0.030441540634916588,collision
7,50,-0.023031150953422258,too_many_steps
9,51,-0.029970562338916398,too_many_steps
7,51,0.005973436377022108,perfect
9,52,0.0010640453936668175,perfect
9,53,0.004844854193536134,perfect
2,59,-0.021733952159277006,too_many_steps
9,54,0.004400220578748906,perfect
2,60,0.00046639308425265244,perfect
2,61,0.007669139961259792,perfect
3,66,-0.021807650793925264,too_many_steps
0,53,-0.028622119256693522,too_many_steps
0,54,-0.03504508581326843,collision
5,54,-0.0156765848465757,too_many_steps
8,58,-0.020930753567659617,too_many_steps
4,62,-0.011590327830106592,too_many_steps
4,63,-0.038551986141231884,collision
11,51,-0.01137845566971097,too_many_steps
5,55,0.00187670768741776,perfect
7,52,-0.030705864373589326,collision
11,52,-0.0371900559866949,collision
0,55,0.0002799348330662678,perfect
6,68,-0.010519913792333323,too_many_steps
8,59,-0.03146466659527824,collision
1,59,-0.0073073311320198744,too_many_steps
8,60,0.0017569227482197233,perfect
0,56,0.001186938811837901,perfect
8,61,-0.04309929459817466,collision
6,69,0.00268366512395999,perfect
1,60,-0.03251378549966459,collision
11,53,-0.03531929399846172,collision
10,57,-0.021555091686954887,too_many_steps
10,58,-0.033159350870872434,collision
8,62,-0.03135053479253187,collision
10,59,0.0054732376534363195,perfect
8,63,-0.030703560704808956,collision
3,67,0.002042538936565721,perfect
9,55,-0.011979926656874182,too_many_steps
3,68,-0.0306684846698744,collision
2,62,-0.028085931720140473,too_many_steps
8,64,0.0027650549655688847,perfect
3,69,0.001187243129989357,perfect
8,65,0.002626388848776775,perfect
10,60,-0.031276031102008606,collision
4,64,-0.02830261999614502,too_many_steps
5,56,-0.016496272882073407,too_many_steps
7,53,-0.03143149860603098,too_many_steps
9,56,0.0019675241517257587,perfect
5,57,0.006974447283991105,perfect
0,57,-0.015544919633263248,too_many_steps
5,58,-0.07806038754073251,collision
6,70,-0.0023283334015289023,too_many_steps
5,59,0.0028243659255042727,perfect
1,61,-0.007671341989348535,too_many_steps
11,54,-0.0022821684050138777,too_many_steps
1,62,-0.032477998804231314,collision
0,58,-0.03067777160432905,collision
